addresspoid,housenum,geo_housenum,geo_streetname,geo_return_code,geo_message,geo_reason_code
47669,33-04,33-04,101 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
48610,102-02,102-02,35 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
49237,39-14,39-14,97 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
49900,104-01,104-01,37 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
50695,127-02A,127-02A,36 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
52242,50-12,50-12,JUNCTION BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
53592,103-23,103-23,53 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
53679,105-04,105-04,53 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
53734,99-33,99-33,60 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
55589,108-88,108-88,45 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
55983,108-06,108-06,52 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
55984,108-07,108-07,CORONA AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
57347,105-01,105-01,62 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
57614,110-01,110-01,COLONIAL AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
58895,112-90,112-90,70 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
59459,50-43,50-43,43 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
60815,63-39,63-39,BORDEN AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
60970,54-11,54-11,63 PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
61836,46-02,46-02,66 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
61932,66-14,66-14,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61934,66-18,66-18,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61936,66-20,66-20,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61938,66-22,66-22,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61940,66-24,66-24,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61956,66-44,66-44,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61981,66-43,66-43,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61983,66-41,66-41,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
61985,66-39,66-39,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
62079,68-19,68-19,56 ROAD,50,56 ROAD IS AN INVALID STREET NAME FOR THIS LOCATION,1
62080,68-17,68-17,56 ROAD,50,56 ROAD IS AN INVALID STREET NAME FOR THIS LOCATION,1
62081,68-15,68-15,56 ROAD,50,56 ROAD IS AN INVALID STREET NAME FOR THIS LOCATION,1
62082,68-11,68-11,56 ROAD,50,56 ROAD IS AN INVALID STREET NAME FOR THIS LOCATION,1
62997,46-01,46-01,69 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
64763,73-53,73-53,53 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
65328,69-03,69-03,55 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
65798,55-29,55-29,46 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
65884,56-44,56-44,58 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
65986,49-29,49-29,METROPOLITAN AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
65990,49-05A,49-05A,METROPOLITAN AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
66006,57-35,57-35,59 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
66708,22-89,22-89,58 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
66845,59-14,59-14,54 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
67035,57-49,57-49,58 PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
67144,23-40,23-40,58 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
67146,58-72A,58-72A,58 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
67147,58-72B,58-72B,58 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
67177,58-14,58-14,58 DRIVE,42,ADDRESS NUMBER OUT OF RANGE,""
67349,57-33A,57-33A,59 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
68021,62-15,62-15,FLUSHING AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
68123,65-02,65-02,56 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
68165,56-54,56-54,HAMILTON PLACE,42,ADDRESS NUMBER OUT OF RANGE,""
70018,62-27,62-27,62 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
70889,69-84,69-84,LONG ISLAND EXPRESSWAY,42,ADDRESS NUMBER OUT OF RANGE,""
70893,69-92,69-92,LONG ISLAND EXPRESSWAY,42,ADDRESS NUMBER OUT OF RANGE,""
71068,72-01,72-01,LONG ISLAND EXPRESSWAY,42,ADDRESS NUMBER OUT OF RANGE,""
72832,87-18A,87-18A,QUEENS BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
73275,86-40,86-40,LONG ISLAND EXPRESSWAY,42,ADDRESS NUMBER OUT OF RANGE,""
73544,85-04,85-04,LONG ISLAND EXPRESSWAY,50,LONG ISLAND EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,2
73545,85-08,85-08,LONG ISLAND EXPRESSWAY,50,LONG ISLAND EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,2
73798,55-10,55-10,HASPEL STREET,42,ADDRESS NUMBER OUT OF RANGE,""
73865,56-02,56-02,MADISON STREET,42,ADDRESS NUMBER OUT OF RANGE,""
76391,70-05,70-05,63 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
76393,70-01,70-01,63 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
76725,82-45,82-45,63 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
76732,82-27,82-27,63 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
79863,66-26,66-26,GRAY STREET,42,ADDRESS NUMBER OUT OF RANGE,""
80661,92-01,92-01,63 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
80785,64-33,64-33,WETHEROLE STREET,42,ADDRESS NUMBER OUT OF RANGE,""
81501,85-15,85-15,64 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
81501,85-21,85-21,64 ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
83417,69-18,69-18,WOODHAVEN BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
85564,98-19,98-19,71 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
85568,98-01,98-01,71 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
85767,70-34A,70-34A,AUSTIN STREET,42,ADDRESS NUMBER OUT OF RANGE,""
86066,98-18,98-18,71 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
86296,2,2,GREENWAY TERRACE,42,ADDRESS NUMBER OUT OF RANGE,""
86574,72-54,72-54,KESSEL STREET,42,ADDRESS NUMBER OUT OF RANGE,""
86584,72-55,72-55,LOUBET STREET,42,ADDRESS NUMBER OUT OF RANGE,""
86621,72-52,72-52,JUNO STREET,42,ADDRESS NUMBER OUT OF RANGE,""
86630,72-55,72-55,KESSEL STREET,42,ADDRESS NUMBER OUT OF RANGE,""
86999,1,1,WHITSON STREET,42,ADDRESS NUMBER OUT OF RANGE,""
87047,73-02,73-02,INGRAM STREET,42,ADDRESS NUMBER OUT OF RANGE,""
87320,74-39,74-39,GREENWAY NORTH,42,ADDRESS NUMBER OUT OF RANGE,""
87552,75-27,75-27,WHITSON STREET,42,ADDRESS NUMBER OUT OF RANGE,""
87691,116-01,116-01,UNION TURNPIKE,42,ADDRESS NUMBER OUT OF RANGE,""
87789,323,323,BURNS STREET,42,ADDRESS NUMBER OUT OF RANGE,""
87847,117-31,117-31,UNION TURNPIKE,42,ADDRESS NUMBER OUT OF RANGE,""
88688,122-01,122-01,82 DRIVE,42,ADDRESS NUMBER OUT OF RANGE,""
90220,1894,1894,STANHOPE STREET,42,ADDRESS NUMBER OUT OF RANGE,""
90781,375,375,SENECA AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
92134,1887,1887,WOODBINE STREET,42,ADDRESS NUMBER OUT OF RANGE,""
92134,1895,1895,WOODBINE STREET,42,ADDRESS NUMBER OUT OF RANGE,""
92859,63-18,63-18,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
93050,6606,66-06,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
93150,66-48,66-48,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
93152,66-50,66-50,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
93614,68-27A,68-27A,60 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
94179,66-15,66-15,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94181,66-13,66-13,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94183,66-11,66-11,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94184,66-07,66-07,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94187,66-05,66-05,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94191,66-01,66-01,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94323,66-55,66-55,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94325,66-53,66-53,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94327,6651,66-51,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94329,6649,66-49,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94331,66-47,66-47,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94333,6643,66-43,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
94335,66-41,66-41,240 STREET,50,240 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
95272,1602,1602,STEPHEN STREET,42,ADDRESS NUMBER OUT OF RANGE,""
95272,1610,1610,STEPHEN STREET,42,ADDRESS NUMBER OUT OF RANGE,""
98157,68-30,68-30,65 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
106256,3-06,3-06,125 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
