addresspoid,housenum,geo_housenum,geo_streetname,geo_return_code,geo_message,geo_reason_code
5163491,132,132,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163492,134,134,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163493,136,136,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163499,140,140,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163500,142,142,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163501,144,144,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163502,146,146,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163504,148,148,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163506,150,150,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163509,384,384,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163510,386,386,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163511,388,388,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163512,390,390,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163513,392,392,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163514,394,394,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163515,396,396,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163516,398,398,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163518,400,400,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163520,402,402,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163522,404,404,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163523,406,406,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163763,65-18,65-18,LONG ISLAND EXPRESSWAY,50,LONG ISLAND EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
5163764,65-10,65-10,LONG ISLAND EXPRESSWAY,50,LONG ISLAND EXPRESSWAY IS AN INVALID STREET NAME FOR THIS LOCATION,1
5163795,152,152,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163796,156,156,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163798,160,160,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163800,162,162,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163802,166,166,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163803,168,168,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163804,170,170,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163805,176,176,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163806,178,178,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163807,180,180,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163808,182,182,HILLSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163933,330,330,PRATT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5163939,131,131,SERGEANT BEERS LANE,42,ADDRESS NUMBER OUT OF RANGE,""
5163946,306,306,RED CROSS LANE,42,ADDRESS NUMBER OUT OF RANGE,""
5163949,415,415,WALTER REED ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5163967,132,132,SERGEANT BEERS LANE,42,ADDRESS NUMBER OUT OF RANGE,""
5164005,310,310,SERGEANT BEERS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5164006,134,134,SERGEANT BEERS LANE,42,ADDRESS NUMBER OUT OF RANGE,""
5164008,308,308,RED CROSS LANE,42,ADDRESS NUMBER OUT OF RANGE,""
5164011,409,409,SHORE ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5164020,309,309,SHORE ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5164119,221-52B,221-52B,LONG ISLAND EXPRESSWAY,42,ADDRESS NUMBER OUT OF RANGE,""
5164127,221-54B,221-54B,LONG ISLAND EXPRESSWAY,42,ADDRESS NUMBER OUT OF RANGE,""
5164224,619,619,LITTLE BAY ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5164226,635,635,BAYSIDE AVENUE,50,BAYSIDE AVENUE IS AN INVALID STREET NAME FOR THIS LOCATION,1
5164230,313,313,SERGEANT BEERS AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5164301,194-22A,194-22A,39 AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5164322,68-09,68-09,JOHN F KENNEDY CIRCLE,41,THIS STREET HAS NO ADDRESSES,""
5164795,878A,878A,ANNADALE ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5164821,503,503,EAST   87 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
5164825,831,831,ARTHUR KILL ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5164885,894,894,HUGUENOT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5164886,929,929,HUGUENOT AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5164903,4347A,4347A,HYLAN BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
5164904,4349A,4349A,HYLAN BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
5164906,4353A,4353A,HYLAN BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
5165025,86-02,86-02,ROCKAWAY BOULEVARD,42,ADDRESS NUMBER OUT OF RANGE,""
5165312,162,162,PRESENTATION CIRCLE,42,ADDRESS NUMBER OUT OF RANGE,""
5165395,1,1,WEST  246 STREET,50,WEST  246 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
5165561,356,356,SPRAGUE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5165565,354,354,SPRAGUE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5165697,485B,485B,NOSTRAND AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5165710,2139,2139,WHITE PLAINS ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5165786,23-B2R,"",JUDGE STREET,13,ADDRESS NBR 23-B2R  CONTAINS AN INVALID CHARACTER(B) IN POSITION 4.,1
5165804,45,45,CADMAN PLAZA EAST,50,CADMAN PLAZA EAST IS AN INVALID STREET NAME FOR THIS LOCATION,1
5165949,2,2,TERRACE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5166284,23-27,23-27,58 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
5166355,842,842,CLASON POINT LANE,42,ADDRESS NUMBER OUT OF RANGE,""
5166674,457,457,BARD AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5167200,36-34,36-34,MAIN STREET,42,ADDRESS NUMBER OUT OF RANGE,""
5167284,139-30,139-30,BELT PARKWAY,50,BELT PARKWAY IS AN INVALID STREET NAME FOR THIS LOCATION,2
5167286,139-32,139-32,BELT PARKWAY,50,BELT PARKWAY IS AN INVALID STREET NAME FOR THIS LOCATION,2
5167334,718,718,103 STREET,50,103 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167435,102,102,BAY   32 STREET,50,BAY   32 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167435,108,108,BAY   32 STREET,50,BAY   32 STREET IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167740,448,448,BEACH  123 STREET,42,ADDRESS NUMBER OUT OF RANGE,""
5167761,97-01,97-01,SHORE FRONT PARKWAY,42,ADDRESS NUMBER OUT OF RANGE,""
5167772,414,414,BAYSIDE AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5167774,169-64,169-64,ROCKAWAY POINT BOULEVARD,50,ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167775,169-60,169-60,ROCKAWAY POINT BOULEVARD,50,ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167776,169-44,169-44,ROCKAWAY POINT BOULEVARD,50,ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167777,169-56,169-56,ROCKAWAY POINT BOULEVARD,50,ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167778,169-36,169-36,ROCKAWAY POINT BOULEVARD,50,ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167779,169-40,169-40,ROCKAWAY POINT BOULEVARD,50,ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167780,169-32,169-32,ROCKAWAY POINT BOULEVARD,50,ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION,1
5167929,4,4,HARBOR ROAD,42,ADDRESS NUMBER OUT OF RANGE,""
5167948,7,7,VAN NAME AVENUE,42,ADDRESS NUMBER OUT OF RANGE,""
5167999,2701-A1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A1  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168000,2701-A2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A2  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168001,2701-A3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A3  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168002,2701-A4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A4  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168003,2701-A5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A5  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168004,2701-A6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A6  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168005,2701-A7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A7  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168006,2701-A8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A8  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168007,2701-A9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A9  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168008,2701-A10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-A10  CONTAINS AN INVALID CHARACTER(A) IN POSITION 6.,1
5168009,2701-B1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B1  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168010,2701-B2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B2  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168011,2701-B4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B4  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168012,2701-B5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B5  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168013,2701-B3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B3  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168014,2701-B6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B6  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168015,2701-B7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B7  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168016,2701-B8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B8  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168017,2701-B9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B9  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168018,2701-B10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B10  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168019,2701-B11,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-B11  CONTAINS AN INVALID CHARACTER(B) IN POSITION 6.,1
5168020,2701-C1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C1  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168021,2701-C3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C3  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168022,2701-C4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C4  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168023,2701-C5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C5  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168024,2701-C2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C2  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168025,2701-C6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C6  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168026,2701-C7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C7  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168027,2701-C8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C8  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168028,2701-C9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C9  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168029,2701-C10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C10  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168030,2701-C11,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C11  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168032,2701-C12,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-C12  CONTAINS AN INVALID CHARACTER(C) IN POSITION 6.,1
5168033,2701-D1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D1  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168034,2701-D2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D2  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168035,2701-D3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D3  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168036,2701-D4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D4  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168037,2701-D5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D5  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168040,2701-D6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D6  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168041,2701-D7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D7  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168042,2701-D8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D8  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168043,2701-D9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D9  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168044,2701-D10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D10  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168045,2701-D11,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D11  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168046,2701-D12,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D12  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168047,2701-D13,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D13  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168048,2701-D14,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D14  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168049,2701-D15,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D15  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168050,2701-D16,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D16  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168051,2701-D17,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D17  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168052,2701-D18,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-D18  CONTAINS AN INVALID CHARACTER(D) IN POSITION 6.,1
5168053,2701-E1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E1  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168054,2701-E2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E2  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168056,2701-E3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E3  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168057,2701-E4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E4  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168058,2701-E5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E5  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168059,2701-E6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E6  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168060,2701-E7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E7  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168061,2701-E8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E8  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168062,2701-E9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E9  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168063,2701-E10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E10  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168064,2701-E11,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E11  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168065,2701-E12,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E12  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168066,2701-E13,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E13  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168067,2701-E14,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E14  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168068,2701-E15,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E15  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168069,2701-E16,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E16  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168071,2701-E17,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E17  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168072,2701-E18,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E18  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168073,2701-E19,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-E19  CONTAINS AN INVALID CHARACTER(E) IN POSITION 6.,1
5168074,2701-F1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F1  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168075,2701-F2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F2  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168076,2701-F3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F3  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168077,2701-F5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F5  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168078,2701-F6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F6  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168079,2701-F4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F4  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168081,2701-F7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F7  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168082,2701-F8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F8  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168083,2701-F9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F9  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168084,2701-F10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F10  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168085,2701-F11,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F11  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168086,2701-F12,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F12  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168087,2701-F13,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F13  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168089,2701-F14,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F14  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168090,2701-F15,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F15  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168091,2701-F16,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F16  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168092,2701-F17,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F17  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168093,2701-F18,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F18  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168095,2701-F19,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F19  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168096,2701-F20,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-F20  CONTAINS AN INVALID CHARACTER(F) IN POSITION 6.,1
5168097,2701-G1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G1  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168099,2701-G2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G2  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168100,2701-G3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G3  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168102,2701-G4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G4  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168103,2701-G5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G5  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168104,2701-G6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G6  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168105,2701-G7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G7  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168106,2701-G8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G8  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168107,2701-G9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G9  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168108,2701-G10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G10  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168109,2701-G11,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G11  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168110,2701-G12,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G12  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168111,2701-G13,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G13  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168112,2701-G14,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G14  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168113,2701-G15,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G15  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168114,2701-G16,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G16  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168115,2701-G17,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G17  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168116,2701-G18,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G18  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168117,2701-G19,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G19  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168118,2701-G20,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-G20  CONTAINS AN INVALID CHARACTER(G) IN POSITION 6.,1
5168119,2701-H1,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H1  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168120,2701-H2,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H2  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168121,2701-H3,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H3  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168122,2701-H4,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H4  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168123,2701-H5,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H5  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168124,2701-H6,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H6  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168125,2701-H7,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H7  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168126,2701-H8,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H8  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168127,2701-H9,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H9  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
5168128,2701-H10,"",GOETHALS ROAD NORTH,13,ADDRESS NBR 2701-H10  CONTAINS AN INVALID CHARACTER(H) IN POSITION 6.,1
